Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R78","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",216.916000,-96.520000,-90.000000,top
"R79","4.53k","R_0402_1005Metric",216.916000,-92.710000,-90.000000,top
"R80","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.660000,-65.024000,-90.000000,top
"R81","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",202.692000,-71.374000,-90.000000,top
"R82","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",200.660000,-71.374000,-90.000000,top
"R83","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.680000,-68.834000,-90.000000,top
"R84","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.648000,-68.834000,-90.000000,top
"R85","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",88.138000,-115.062000,-90.000000,top
"R86","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.482000,-112.776000,180.000000,top
"R87","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.292000,-127.762000,0.000000,top
"R88","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",169.164000,-40.386000,90.000000,top
"R89","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.852000,-115.062000,90.000000,top
"R90","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.414000,-86.360000,180.000000,top
"R91","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.414000,-88.392000,180.000000,top
"R92","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.036000,-39.116000,0.000000,top
"R93","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.944000,-80.264000,-90.000000,top
"R94","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.370000,-51.308000,180.000000,top
"R95","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.370000,-49.276000,0.000000,top
"R96","43k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.952000,-127.762000,180.000000,top
"R97","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",231.902000,-92.710000,90.000000,top
"R98","16k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",231.902000,-96.520000,90.000000,top
"R99","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",229.870000,-96.520000,-90.000000,top
"R100","10kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",122.682000,-99.314000,90.000000,top
"R101","10kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",120.142000,-99.314000,-90.000000,top
"R102","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",227.838000,-96.520000,90.000000,top
"R103","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",229.870000,-92.710000,90.000000,top
"R104","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",227.838000,-92.710000,-90.000000,top
"R105","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.008000,-106.934000,-90.000000,top
"R106","580R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",229.870000,-89.408000,180.000000,top
"R107","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",204.216000,-89.154000,-90.000000,top
"R108","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",191.008000,-110.998000,-90.000000,top
"R109","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.976000,-106.934000,90.000000,top
"R110","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.976000,-110.998000,-90.000000,top
"R111","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.784000,-106.934000,-90.000000,top
"R112","10kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",174.752000,-106.934000,90.000000,top
"R113","100k","R_0402_1005Metric",133.858000,-50.038000,180.000000,top
"R114","100k","R_0402_1005Metric",136.144000,-50.038000,0.000000,top
"R115","100k","R_0402_1005Metric",141.732000,-50.038000,0.000000,top
"R116","100k","R_0402_1005Metric",139.446000,-50.038000,180.000000,top
"S1","TS-1187A-B-A-B","TS1187ABAB",167.894000,-57.404000,180.000000,top
"T1","HX1188NLT","HX1188NLT",205.994000,-124.968000,180.000000,top
"T2","HX1188NLT","HX1188NLT",226.568000,-124.968000,180.000000,top
"T4","EPM1510SJA","Converter_DCDC_EPM1205SJ",78.486000,-137.414000,90.000000,top
"T5","IES0105S05","SMDIP-8_W9.53mm",185.166000,-97.282000,0.000000,top
"U1","MC33797BPEWR2","MC33797BPEWR2",50.292000,-119.888000,90.000000,top
