Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.944000,-124.206000,180.000000,top
"R13","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.060000,-68.834000,-90.000000,top
"R14","220R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.300000,-67.564000,180.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.280000,-65.024000,90.000000,top
"R16","2.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",210.312000,-65.024000,-90.000000,top
"R17","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.666000,-50.521000,180.000000,top
"R18","16k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.848000,-52.807000,180.000000,top
"R19","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",195.072000,-65.024000,-90.000000,top
"R20","402k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.682000,-128.016000,90.000000,top
"R21","3.3M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.604000,-128.016000,90.000000,top
